DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
OLIVIER,Brooklyn,469,4 AVENUE,11215.0,40.669047180044,-73.989787661398
EPICERIE BOULUD,Manhattan,185,GREENWICH STREET,10007.0,40.711829780109,-74.01208739719
LE PARIS DAKAR,Brooklyn,563,NOSTRAND AVENUE,11216.0,40.677998302131,-73.949720977339
LA GOULUE RESTAURANT,Manhattan,29,EAST   61 STREET,10065.0,40.764720887220996,-73.970206858727
JOYCE BAKESHOP,Brooklyn,632,VANDERBILT AVENUE,11238.0,40.677291496735,-73.969002264254
DIRTY PIERRES BISTRO,Queens,13,STATION SQUARE,11375.0,40.719208052264,-73.845100981906
LE GARAGE,Brooklyn,159,CENTRAL AVENUE,11221.0,40.699035642491005,-73.92681518203301
BAR TABAC,Brooklyn,128,SMITH STREET,11201.0,40.687267028868,-73.990109379303
CAFE CLUNY,Manhattan,284,WEST   12 STREET,10014.0,40.737529596266,-74.004009041465
CREPES ON COLUMBUS,Manhattan,990,COLUMBUS AVENUE,10025.0,40.80099572781,-73.96159411428701
CAFE BILBOQUET,Manhattan,26,EAST   60 STREET,10022.0,40.764062254344,-73.970629517633
LE BARRICOU,Brooklyn,533,GRAND STREET,11211.0,40.71106469682,-73.949980896997
AIRS CHAMPAGNE PARLOR,Manhattan,127,MACDOUGAL STREET,10012.0,40.730571688241,-74.00000721624001
EXCUSE MY FRENCH,Manhattan,96,ORCHARD STREET,10002.0,40.718425665709994,-73.990065055529
LA VRAIE RACLETTE,Manhattan,511,EAST   12 STREET,10009.0,40.728871072395,-73.980805293559
LENOX PUBLIC,Manhattan,308,LENOX AVENUE,10027.0,40.808097984295,-73.945229715539
MACARON CAFE,Manhattan,152,WEST   36 STREET,10018.0,40.751799117043,-73.988587475219
PAPILLON BISTRO & BAR,Manhattan,22,EAST   54 STREET,10022.0,40.760645950373004,-73.974475419522
CAVIAR RUSSE,Manhattan,538,MADISON AVENUE,10022.0,40.760618301849,-73.973587430672
BEAUBOURG,Manhattan,225,LIBERTY STREET,10280.0,40.711530166285,-74.015672785414
TASTINGS - MOUNTAIN BIRD,Manhattan,251,EAST  110 STREET,10029.0,40.793653363105996,-73.941666207855
BAR TABAC,Brooklyn,128,SMITH STREET,11201.0,40.687267028868,-73.990109379303
LE PAIN QUOTIDIEN,Manhattan,PQ,BRYANT PARK KIOSK2,10036.0,40.753763756679994,-73.983570097712
HUDSON CLEARWATER,Manhattan,447,HUDSON STREET,10014.0,40.731049080016,-74.006729192073
LE GAMIN,Brooklyn,108,FRANKLIN STREET,11222.0,40.728285592877995,-73.957321017451
TROQUET,Manhattan,155,GRAND STREET,10013.0,40.719954926476,-73.998910522028
OLIVIER,Brooklyn,469,4 AVENUE,11215.0,40.669047180044,-73.989787661398
BARAWINE,Manhattan,27,WEST  120 STREET,10027.0,40.804105052344,-73.946663414044
LE BARRICOU,Brooklyn,533,GRAND STREET,11211.0,40.71106469682,-73.949980896997
ALMOND,Manhattan,12,EAST   22 STREET,10010.0,40.740386432577,-73.988946694333
BAR SUZETTE CREPERIE,Manhattan,425,WEST   15 STREET,10011.0,40.742140709499004,-74.006041045619
LA MAISON DU CROQUE MONSIEUR,Manhattan,17,EAST   13 STREET,10003.0,40.734921938187,-73.993187423102
LA MAISON DU MACARON,Manhattan,132,WEST   23 STREET,10011.0,40.743345656441,-73.993886668415
BALTHAZAR RESTAURANT,Manhattan,80,SPRING STREET,10012.0,40.72270242812,-73.998109569261
LE PAIN QUOTIDIEN,Manhattan,708,3 AVENUE,10017.0,40.752320832940995,-73.973323644879
PATES & TRADITIONS,Brooklyn,52,HAVEMEYER STREET,11211.0,40.714796744062,-73.954559309814
CAFE TRISKELL,Queens,33-04,36 AVENUE,11106.0,40.755754263982,-73.928015947801
BOBO RESTAURANT,Manhattan,181,WEST   10 STREET,10014.0,40.734290812313,-74.002724283182
TOUT VA BIEN,Manhattan,311,WEST   51 STREET,10019.0,40.7631374512,-73.98617050787401
CHEZ OSKAR,Brooklyn,373,DECATUR STREET,11233.0,40.681923536304005,-73.929303787234
PISTACHE NYC INC,Brooklyn,630,FLUSHING AVENUE,11206.0,40.699955930335996,-73.948449306538
LE PIF,Manhattan,2058,BROADWAY,10023.0,40.777717023453995,-73.982044066686
LE BERNARDIN,Manhattan,155,WEST   51 STREET,10019.0,40.76133904072,-73.981900497456
