DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
PUMPERNICKEL BAGEL & DELICATESSEN,Queens,2310,44 DRIVE,11101.0,40.747540111206,-73.944489313823
DELI 93,Queens,1069,WYCKOFF AVENUE,11385.0,40.694716516395005,-73.90253957293899
AIRPORT DELI,Queens,8420,ASTORIA BOULEVARD,11370.0,40.764612087724,-73.884845497109
BAGEL MARKET,Brooklyn,106,7 AVENUE,11215.0,40.674089963658,-73.97572357618
C & C ITALIAN DELI,Queens,14919,CENTERVILLE STREET,11417.0,40.670777979249,-73.838249265318
HAMILTON DELI,Manhattan,1129,AMSTERDAM AVENUE,10025.0,40.806468652252,-73.961291127399
BROADWAY DELI & CAFE,Manhattan,515,WEST   42 STREET,10036.0,40.759899404009,-73.99611233722399
BLAKE & TODD,Manhattan,7,WEST   47 STREET,10036.0,40.756919518444,-73.97918370977
CONSTANTINES DELI,Queens,20510,48 AVENUE,11364.0,40.753456252263,-73.774869264677
BARI SANDWICH SHOP,Brooklyn,135,58 STREET,11220.0,40.645399065028,-74.022947064945
ALL AMERICAN DELI,Manhattan,42,WATER STREET,10004.0,40.703425487046,-74.010091392761
GOURMET BAGEL,Manhattan,874,LEXINGTON AVENUE,10065.0,40.766204419027,-73.965289293489
COURTHOUSE DELI,Queens,88-40,SUTPHIN BOULEVARD,11435.0,40.704389577038,-73.809068502224
GOURMET 45,Manhattan,721,3 AVENUE,10017.0,40.752776379499004,-73.972966138331
CONTINENTAL LUNCHEONETTE & DELI,Queens,104-03,METROPOLITAN AVENUE,11375.0,40.710094536265004,-73.848559724821
TOMPKINS SQUARE BAGELS,Manhattan,184,2 AVENUE,10003.0,40.730743765581,-73.986094269677
CAFE RAE'S,Queens,8229,164TH ST,11432.0,40.718450296572,-73.803735908128
FRANHILL DELI,Queens,20417,HILLSIDE AVENUE,11423.0,40.720411153548,-73.760922579022
FAMILY COFFEE SHOP,Bronx,219,WEST  230 STREET,10463.0,40.877262765071,-73.90705869728501
COLUMBUS AVE DELI & CAFE,Manhattan,556,COLUMBUS AVENUE,10024.0,40.787058094262,-73.97176408253
CAFE FRESCO,Manhattan,1239,1 AVENUE,10065.0,40.764472945403,-73.95843848783001
FOOD FAIR DELI & PIZZA,Manhattan,433,WEST   34 STREET,10001.0,40.753984491178,-73.997726082422
METRO EATS,Brooklyn,292,ATLANTIC AVENUE,11201.0,40.68847461353,-73.988847157858
TIMES DELI & CAFE,Manhattan,158,WEST   44 STREET,10036.0,40.756755696983,-73.984670267738
MODERN GOURMET,Manhattan,793,BROADWAY,10003.0,40.732089219481004,-73.991380004408
COZY CORNER/CHICKEN LOVER,Manhattan,1161,2 AVENUE,10065.0,40.761949447216,-73.963367481917
HOME DELI & CATERING,Queens,7135,73RD PL,11385.0,40.704402185414,-73.876268575037
SHARAN DELI,Manhattan,314,WEST   39 STREET,10018.0,40.755614614635,-73.991893104203
RIO CONVENIENCE STORE,Brooklyn,3715,14 AVENUE,11218.0,40.640344210924,-73.982974774483
JOHN'S FAMOUS DELI,Staten Island,15,INNIS STREET,10302.0,40.633571371427,-74.141833663537
G&B TERMINAL DELI,Brooklyn,22,BROOKLYN TERMINAL MARKET,11236.0,40.643402167111,-73.915468105833
PUMPERNICKEL BAGEL & DELICATESSEN,Queens,2310,44 DRIVE,11101.0,40.747540111206,-73.944489313823
FOOD FAIR DELI & PIZZA,Manhattan,433,WEST   34 STREET,10001.0,40.753984491178,-73.997726082422
MILLIE'S DELI,Queens,13-01,JACKSON AVENUE,11101.0,40.744163633655,-73.949522888161
DYKER PARK BAGELS,Brooklyn,713,86 STREET,11228.0,40.618673385958,-74.021547451245
NOT GUILTY DELICATESSEN,Staten Island,19,HYATT STREET,10301.0,40.641905963147,-74.077175638715
PRONTO CAFE,Brooklyn,3105,AVENUE H,11210.0,40.631722519635,-73.946329755182
NIFOROS CORNER,Queens,3560,11TH ST,11106.0,40.76182683039,-73.939535516849
GRAB & GO,Manhattan,2096,5 AVENUE,10035.0,40.808820250156,-73.94051135202099
TSQ FOOD COURT,Manhattan,163,WEST   48 STREET,10036.0,40.759354750924004,-73.983016431453
J & LEE'S DELI,Bronx,214,EAST  188 STREET,10458.0,40.861178453964,-73.89715382571801
ALL ABOUT FOOD,Manhattan,16,EAST   58 STREET,10022.0,40.763296970858,-73.97266944977801
LA BAGEL DELIGHT,Brooklyn,90,COURT STREET,11201.0,40.69113179499,-73.991681009986
FAMILY COFFEE SHOP,Bronx,219,WEST  230 STREET,10463.0,40.877262765071,-73.90705869728501
C & C ITALIAN DELI,Queens,14919,CENTERVILLE STREET,11417.0,40.670777979249,-73.838249265318
TIMES DELI & CAFE,Manhattan,158,WEST   44 STREET,10036.0,40.756755696983,-73.984670267738
ZUCKER'S BAGELS,Manhattan,370,LEXINGTON AVENUE,10017.0,40.75063901798,-73.976641186014
C & C ITALIAN DELI,Queens,14919,CENTERVILLE STREET,11417.0,40.670777979249,-73.838249265318
H&H BAGELS,Queens,0,JFK INTL. AIRPORT,11430.0,40.648312826068,-73.788281497594
TRIBECA BAGELS,Manhattan,374,CANAL STREET,10013.0,40.721071972867996,-74.004260579913
MERCI MARKET,Manhattan,350,WEST   42 STREET,10036.0,40.757826842596,-73.991239495956
ELIM BISTRO,Manhattan,11,PARK PLACE,10007.0,40.712820978699,-74.008296457327
MERCI MARKET,Manhattan,350,WEST   42 STREET,10036.0,40.757826842596,-73.991239495956
