street_name,odd_on,avg_direction,building_num_range,start_end_coordinates,segment_length,segment_direction,building_num_range_length,avg_length_per_building,direction_deviation,road_type,offset_from_road_center
W 112th Street,right,119.62242303832953,"[258, 299]","[[40.802512, -73.958704], [40.801888, -73.957312]]",136.38181302626427,120.5367311816999,42,3.2471860244348636,-0.9143081433703628,Street,5
W 113th Street,right,119.31181635126357,"[1, 47]","[[40.801328, -73.954016], [40.800736, -73.952576]]",138.16168755087972,118.41301095273045,47,2.9396103734229726,0.8988053985331135,Street,5
W 113th Street,right,119.31181635126357,"[48, 93]","[[40.800736, -73.952576], [40.800135, -73.951168]]",136.28025753191116,119.32264248577047,46,2.9626142941719817,-0.01082613450688541,Street,5
W 113th Street,right,119.31181635126357,"[94, 199]","[[40.800135, -73.951168], [40.798749, -73.947919]]",314.42928319182886,119.30712407710993,106,2.966313992375744,0.004692274153626386,Street,5
W 113th Street,right,118.8177441530012,"[200, 299]","[[40.802512, -73.956848], [40.801328, -73.954016]]",272.7647451619356,118.8177441530012,100,2.727647451619356,0.0,Street,5
W 113th Street,right,118.93009699747095,"[300, 372]","[[40.80688, -73.967248], [40.806128, -73.965328]]",182.26753479897684,117.2685311479297,73,2.4968155451914638,1.6615658495412617,Street,5
W 113th Street,right,118.93009699747095,"[373, 482]","[[40.806128, -73.965328], [40.804928, -73.962448]]",277.1589082891144,118.73723673086565,110,2.5196264389919487,0.19286026660529387,Street,5
W 113th Street,right,118.93009699747095,"[483, 552]","[[40.804928, -73.962448], [40.80421, -73.960591]]",175.81887909074544,116.96790502843646,70,2.511698272724935,1.9621919690345067,Street,5
W 113th Street,right,118.93009699747095,"[553, 644]","[[40.80421, -73.960591], [40.803136, -73.958256]]",230.322738569464,121.18598326769184,92,2.5035080279289565,-2.255886270220884,Street,5
W 113th Street,right,118.93009699747095,"[645, 699]","[[40.803136, -73.958256], [40.802512, -73.956848]]",137.5454752479535,120.25119418963331,55,2.5008268226900636,-1.3210971921623695,Street,5
W 114th Street,right,119.32054104701017,"[1, 33]","[[40.801936, -73.953584], [40.801552, -73.952592]]",93.94728241470048,116.99423865329302,33,2.8468873459000146,2.3263023937171283,Street,5
W 114th Street,right,119.32054104701017,"[34, 94]","[[40.801552, -73.952592], [40.800743, -73.950697]]",183.4223187464317,119.32654980530307,61,3.0069232581382246,-0.006008758292921357,Street,5
W 114th Street,right,119.32054104701017,"[95, 199]","[[40.800743, -73.950697], [40.799362, -73.947461]]",313.1986743528029,119.31702206538884,105,2.9828445176457423,0.003518981621311923,Street,5
W 114th Street,right,120.85681526386658,"[200, 299]","[[40.8032, -73.956368], [40.801936, -73.953584]]",273.66958393720773,120.85681526386658,100,2.7366958393720773,0.0,Street,5
W 114th Street,right,117.46347530887358,"[300, 406]","[[40.803967, -73.95831], [40.803744, -73.957808]]",49.06835763864925,120.310432126033,107,0.4585827816696192,-2.8469568171594233,Street,5
W 114th Street,right,117.46347530887358,"[407, 699]","[[40.803744, -73.957808], [40.8032, -73.956368]]",135.70235019432536,116.4340495466364,293,0.4631479528816565,1.0294257622371674,Street,5
W 115th Street,right,118.73581055451386,"[1, 16]","[[40.802592, -73.953104], [40.802384, -73.952656]]",44.302868428732914,121.42439953267943,16,2.768929276795807,-2.688588978165569,Street,5
W 115th Street,right,118.73581055451386,"[17, 94]","[[40.802384, -73.952656], [40.801392, -73.950224]]",232.92534198918372,118.22506316262758,78,2.986222333194663,0.5107473918862979,Street,5
W 115th Street,right,118.73581055451386,"[95, 199]","[[40.801392, -73.950224], [40.800032, -73.94696]]",314.1308256077018,118.73534516614222,105,2.991722148644779,0.00046538837165144287,Street,5
W 115th Street,right,118.02598145741487,"[200, 299]","[[40.803744, -73.955952], [40.802592, -73.953104]]",272.2567973244436,118.02598145741487,100,2.722567973244436,0.0,Street,5
W 115th Street,right,118.40073846351544,"[300, 456]","[[40.804733, -73.958359], [40.804384, -73.957392]]",90.33489333833914,115.40578329779011,157,0.5753814862314595,2.9949551657253437,Street,5
W 115th Street,right,118.40073846351544,"[457, 699]","[[40.804384, -73.957392], [40.803744, -73.955952]]",140.77139408605296,120.32264139845066,243,0.5793061485022756,-1.9219029349352184,Street,5
W 116th Street,right,118.98953087215017,"[1, 92]","[[40.803296, -73.952544], [40.802064, -73.949776]]",270.6977994509104,120.3577526467734,92,2.9423673853359826,-1.3682217746232368,Street,5
W 116th Street,right,118.98953087215017,"[93, 199]","[[40.802064, -73.949776], [40.800736, -73.946464]]",316.0121013667462,117.81750416194046,107,2.9533841249228616,1.1720267102097068,Street,5
W 116th Street,right,117.50136670404144,"[200, 299]","[[40.804448, -73.955456], [40.803296, -73.952544]]",277.03341401437257,117.50136670404144,100,2.7703341401437256,0.0,Street,5
W 116th Street,right,118.2002354810142,"[300, 505]","[[40.80563, -73.958357], [40.805024, -73.956864]]",142.83011787625952,118.10938362993934,206,0.6933500867779588,0.09085185107485927,Street,5
W 116th Street,right,118.2002354810142,"[506, 699]","[[40.805024, -73.956864], [40.804448, -73.955456]]",134.93561386827946,118.29640268421804,194,0.6955444013828839,-0.09616720320383365,Street,5
W 117th Street,right,119.61386293243618,"[1, 94]","[[40.804, -73.952096], [40.802736, -73.949248]]",278.31707260935565,120.28683521255932,94,2.9608199213761237,-0.6729722801231333,Street,5
W 117th Street,right,119.61386293243618,"[95, 199]","[[40.802736, -73.949248], [40.80136, -73.945984]]",314.98411822901176,119.01923080938117,105,2.999848745038207,0.5946321230550211,Street,5
W 117th Street,right,117.23175832917622,"[200, 275]","[[40.80512, -73.95496], [40.804256, -73.9528]]",205.97886197094834,117.7620458035773,76,2.7102481838282677,-0.5302874744010637,Street,5
W 117th Street,right,117.23175832917622,"[276, 299]","[[40.804256, -73.9528], [40.804, -73.952096]]",65.8581160466924,115.57322302553729,24,2.7440881686121834,1.6585353036389279,Street,5
