DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
PIG 'N' WHISTLE,Manhattan,58,WEST   48 STREET,10036.0,40.758182301396,-73.980280638523
TIR NA NOG,Manhattan,254,WEST   31 STREET,10001.0,40.749727207972995,-73.99353238271699
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
SWIFT HIBERNIAN LOUNGE,Manhattan,34,EAST    4 STREET,10003.0,40.727467103523004,-73.992354751418
THE GRAY MARE,Manhattan,61,2 AVENUE,10003.0,40.725913352319004,-73.989634598813
ROSIE O'GRADY RESTAURANT,Manhattan,800,7 AVENUE,10019.0,40.762434260535,-73.982293672635
MCFADDEN'S,Manhattan,800,2 AVENUE,10017.0,40.750278379373995,-73.971851915755
FAILTE,Manhattan,531,2 AVENUE,10016.0,40.741946612866,-73.977932564941
TIR NA NOG,Manhattan,254,WEST   31 STREET,10001.0,40.749727207972995,-73.99353238271699
THE DUBLINER,Manhattan,45,STONE STREET,10004.0,40.704331239244,-74.010340392303
BANTRY BAY PUBLICK HOUSE,Queens,3301,GREENPOINT AVENUE,11101.0,40.735671954808005,-73.934464284313
MCCABE'S BAR CAR,Queens,39-15,192 STREET,11358.0,40.761337514524996,-73.789888186824
THE FIVE LAMPS,Manhattan,1586,YORK AVENUE,10028.0,40.774338955264,-73.94826513579001
ONE AND ONE,Manhattan,12,1 AVENUE,10009.0,40.723357851029,-73.988347038953
MAGGIE REILLY'S,Manhattan,340,9 AVENUE,10001.0,40.750537083057,-73.99836502992
BAILEY'S CORNER PUB,Manhattan,1607,YORK AVENUE,10028.0,40.775079806713,-73.947751861125
MCCANN'S PUB,Queens,36-15,DITMARS BOULEVARD,11105.0,40.774231405899,-73.90800458023001
THE GATHER INN AGAIN,Brooklyn,2718,GERRITSEN AVENUE,11229.0,40.592817000423004,-73.925128119532
RYAN'S DAUGHTER CAFE,Manhattan,350,EAST   85 STREET,10028.0,40.776673215682,-73.951043498931
AUSTIN PUBLIC,Queens,70-28,AUSTIN STREET,11375.0,40.720611923178,-73.84606093149
STATION BAR,Queens,39-50,61 STREET,11377.0,40.745871399031,-73.90327285575201
MOLLY'S,Manhattan,287,3 AVENUE,10010.0,40.738373862010995,-73.983465650986
O'NEILL'S RESTAURANT & BAR,Staten Island,1614,FOREST AVENUE,10302.0,40.624740606258996,-74.142466856347
TEMPEST BAR,Manhattan,407,8 AVENUE,10001.0,40.749870015746005,-73.995160104108
THE WILD GOOSE,Queens,5422,ROOSEVELT AVENUE,11377.0,40.744798374442,-73.910246805656
JIM BRADY'S RESTAURANT,Manhattan,75,MAIDEN LANE,10038.0,40.707649870472004,-74.007758386957
STATION BAR,Queens,39-50,61 STREET,11377.0,40.745871399031,-73.90327285575201
THREE JOLLY PIGEONS,Brooklyn,6802,3 AVENUE,11220.0,40.636563025001,-74.025714735225
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
MCLOUGHLINS BAR,Queens,31-06,BROADWAY,11106.0,40.761887022838,-73.925233339452
PLAYWRIGHT CELTIC PUB,Manhattan,202,WEST   49 STREET,10019.0,40.760551605711,-73.983990757676
KEANE'S BAR & RESTAURANT,Bronx,4342,KATONAH AVENUE,10470.0,40.900062984423,-73.867640883899
JIM BYRNE WEE PUB,Queens,93-01,95 AVENUE,11416.0,40.68668758497,-73.848937606438
ALFIE'S,Manhattan,800,9 AVENUE,10019.0,40.76544868973,-73.98750212226999
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
TIR NA NOG,Manhattan,254,WEST   31 STREET,10001.0,40.749727207972995,-73.99353238271699
PETER DILLON'S,Manhattan,385,5 AVENUE,10016.0,40.749556061031,-73.983726333
MCHALE'S BAR & GRILL,Manhattan,251,WEST   51 STREET,10019.0,40.762470273154996,-73.98458592074199
MAXWELL'S,Manhattan,59,READE STREET,10007.0,40.714901634235,-74.006413723204
FAILTE,Manhattan,531,2 AVENUE,10016.0,40.741946612866,-73.977932564941
PARNELL'S PUB,Manhattan,350,EAST   53 STREET,10022.0,40.756238401752,-73.965958657687
GILBEY'S,Queens,32-01,BROADWAY,11106.0,40.76154342233,-73.92446122826
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
O'HANLON'S PUB,Queens,22-57,31 STREET,11105.0,40.774948266802,-73.912119596608
THE PERFECT PINT,Manhattan,123,WEST   45 STREET,10036.0,40.757139811436,-73.983572871335
DEAD RABBIT TAVERN,Manhattan,30,WATER STREET,10004.0,40.703115251235,-74.010928083357
KEANE'S BAR & RESTAURANT,Bronx,4342,KATONAH AVENUE,10470.0,40.900062984423,-73.867640883899
THE TAP HOUSE,Queens,7207,AUSTIN STREET,11375.0,40.719220740482996,-73.84232677800101
SOCCER TAVERN,Brooklyn,6004,8 AVENUE,11220.0,40.635387991295,-74.009673930616
